Spanish,English
pequeño,small
más pequeño,smaller
más menor,smaller
el más pequeño,smallest
el más menor,smallest
alrededor de,around
aquí,here
acá,here
perfecto,perfect
bajo,low
pesado,heavy
con,with
popular,popular
de,of
posible,possible
debajo de,under
positivo,positive
dentro de,inside
preparado,prepared
desde,since
previo,previous
detrás de,behind
probable,probable
en,in
profundo,deep
en algún lugar,somewhere
en algún sitio,somewhere
rápido,fast
en lugar de,instead of
en vez de,instead of
reciente,recent
encima de,on top of
rico,rich
entre,between
ruidoso,noisy
fuera,outside
seco,dry
hacia,towards
seguro,safe
junto a,next to
sencillo,simple
para,for
silencioso,quiet
por,by
similar,similar
sin,without
simple,simple
sobre,on
solitario,lonely
solo,alone
suave,soft
ciertamente,certainly
tímido,shy
definitivamente,definitely
típico,typical
probablemente,probably
tonto,silly
quizá,maybe
quizás,perhaps
tradicional,traditional
útil,useful
vacante,vacant
a menudo,often
vacío,empty
cada día,every day
todos los días,every day
valioso,valuable
diario,daily
diariamente,daily
verdadero,true
normalmente,normally
viejo,old
nunca,never
raramente,rarely
rara vez,rarely
siempre,always
a,to
solo,alone
solamente,only
afuera,outside
al lado de,next to
allí,there
allá,there
