Spanish,English
escuchar música,to listen to music
pop,pop
clásica,classical
folclórica,folk
rock,rock
esquiar,to ski
esquí (m.),skiing
ir a un concierto,to go to a concert
ir a un festival de música,to go to a music festival
fútbol (m.),football
leer (un libro),to read (a book)
ganar,to win
la/una carrera,the/a race
la/una competición,the/a competition
una medalla,a medal
ver la tele,to watch TV
ver un thriller,to watch a thriller
ver una película romántica,to watch a romantic movie
ver una comedia,to watch a comedy
gimnasia (f.),gymnastics
gol (m.),goal
golf (m.),golf
auriculares (m.pl.),headphones
hockey (m.),hockey
hockey sobre ruedas (m.),roller hockey
hockey sobre hielo (m.),ice hockey
canto (m.),singing
cantar,to sing
canción (f.),song
dibujo (m.),drawing
dibujar,to draw
juego (m.),game
fotografía (f.),photography
foto (f.),photo
fotografiar,to photograph
jugar,to play
jardinería (f.),gardening
"marcar (un gol, un punto)","to score (a goal, a point)"
"jugar (a un videojuego, a las cartas, al ajedrez, al fútbol, al baloncesto...)","to play (a video game, cards, chess, football, basketball...)"
medalla (f.),medal
natación (f.),swimming
lectura (f.),reading
leer navegar,to read
letra (f.),lyrics
palo (m.),stick
pesca (f.),fishing
pescar,to fish
partido (m.),match
pintura (f.),painting
pintar,to paint
patinaje (sobre hielo) (m.),ice skating
sacar/tomar fotos,to take photos
"perder (la/una carrera, la/una competición, una medalla)","to lose (the/a race, the/a competition, a medal)"
"tocar (un instrumento, la batería, la flauta, la guitarra, el piano, el violín...)","to play (an instrument, the drums, the flute, the guitar, the piano, the violin...)"
pista de atletismo (f.),athletics track
premio (m.),prize
raqueta (f.),racket
aficionado (m.),fan (male)
aficionada (f.),fan (female)
rugby (m.),rugby
ajedrez (m.),chess
surf (m.),surf
surfear/hacer surf,to surf
atletismo (m.),athletics
atleta (m./f.),athlete
tenis (m.),tennis
bádminton (m.),badminton
vela (f.),sailing
balón (m.) / pelota (f.),ball
bola (f.),ball
voleibol (m.),volleyball
baloncesto (m.),basketball
yoga (m.),yoga
bicicleta (de montaña) (f.) / bici (f.),mountain bike
montar en bicicleta,to ride a bicycle
campeón (m.),champion
campo de fútbol/golf (m.),football/golf field
cancha de baloncesto/tenis (f.),basketball/tennis court
ciclismo (m.),cycling
competir,to compete
competición (f.),competition
correr (m.),running
footing (m.),jogging
entrenar,to train
entrenamiento (m.),training
entrenador (m.),coach (male)
entrenadora (f.),coach (female)
equipamiento (m.),equipment
equipo (de baloncesto) (m.),team (basketball)
África,Africa
América,America
América del Sur,South America
Sudamérica,South America
América del Norte,North America
Norteamérica,North America
América Central,Central America
Centroamérica,Central America
Antártida,Antarctica
Asia,Asia
Australasia,Australasia
Oceanía,Oceania
el Ártico,the Arctic
Europa,Europe
