Spanish,English
absurdo,absurd
fuerte,strong
aburrido,boring
general,general
acogedor,cozy
genial,great
agradable,pleasant
grande,big
más grande,bigger
más mayor,older
el más grande,biggest
el más mayor,oldest
amable,kind
gratis,free
amigable,friendly
harto,fed up
animado,lively
húmedo,humid
blando,soft
importante,important
bueno,good
mejor,better
imposible,impossible
cálido,warm
incorrecto,incorrect
caliente,hot
infeliz,unhappy
cierto,certain
inteligente,intelligent
cómodo,comfortable
inútil,useless
correcto,correct
lento,slow
delgado,thin
libre,free
diferente,different
ligero,light
difícil,difficult
listo,clever
duro,hard
lleno,full
educado,polite
maleducado,rude
emocionante,exciting
malo,bad
peor,worse
enorme,huge
mismo,same
el mismo que,the same as
estrecho,narrow
moderno,modern
estricto,strict
mojado,wet
estupendo,stupendous
necesario,necessary
exacto,exact
negativo,negative
fácil,easy
normal,normal
fantástico,fantastic
nuevo,new
frío,cold
parecido,similar
