Spanish,English
aparcamiento,parking
pastelería,bakery
pastelero,pastry chef (male)
pastelera,pastry chef (female)
autovía,highway
peluquería,hair salon
peluquero,hairdresser (male)
peluquera,hairdresser (female)
barrio,neighborhood
precio,price
calle,street
quiosco,kiosk
carretera,road
rebajas,sales
en rebajas,on sale
ciudad,city
recibo,receipt
esquina,corner
supermercado,supermarket
lugar,place
talla,size
metro,subway
tarjeta de crédito,credit card
parada (de tren/autobús),train/bus stop
tienda,store
paso de peatones,pedestrian crossing
vendedor,seller (male)
vendedora,seller (female)
plaza,square
vuelta,change
pueblo,town
puente,bridge
rotonda,roundabout
alquilar (una bicicleta / un coche),to rent (a bicycle / a car)
semáforo,traffic light
comprar,to buy
sitio,place
conseguir un reembolso,to get a refund
tráfico,traffic
¿Cuánto cuesta?,How much does it cost?
¿Cuánto es?,How much is it?
devolver,to return
gastar dinero,to spend money
abierto,open
hacer la compra,to do the shopping
banco,bank
banquero,banker (male)
banquera,banker (female)
ir de compras,to go shopping
bar (de tapas),tapas bar
pagar,to pay
barato,cheap
quejarse,to complain
poner una queja,to make a complaint
billete,ticket
vender,to sell
cajero,cashier (male)
cajera,cashier (female)
camarero,waiter
camarera,waitress
cambio,change
grado,degree
carnicería,butcher shop
carnicero,butcher (male)
carnicera,butcher (female)
gramo,gram
caro,expensive
kilogramo,kilogram
cerrado,closed
kilómetro,kilometer
cliente,customer (male)
clienta,customer (female)
litro,liter
cuenta,bill
metro,subway
dependiente,shop assistant (male)
dependienta,shop assistant (female)
estanco,tobacco shop
frutería,fruit shop
frutero,fruit seller (male)
frutera,fruit seller (female)
alto,tall
iglesia,church
bajo,short
mercado,market
corto,short
moneda,coin
grande,big
enorme,huge
panadería,bakery
panadero,baker (male)
panadera,baker (female)
largo,long
