Spanish,English
ojos,eyes
impaciente,impatient
impaciencia,impatience
ondulado,wavy
importante,important
oscuro,dark
infeliz,unhappy
pelo,hair
insatisfecho,unsatisfied
rizado,curly
inteligente,intelligent
rubio,blond
interesante,interesting
sexo,sex
género,gender
irritado,irritated
irritación,irritation
(llevar) sonotone,(to wear) hearing aid
audífono,hearing aid
loco,crazy
talla,size
maleducado,rude
viejo,old
malo,bad
voz,voice
nervioso,nervous
optimista,optimistic
optimismo,optimism
paciente,patient
paciencia,patience
perezoso,lazy
aburrido,bored
pesimista,pessimistic
pesimismo,pessimism
activo,active
pobre,poor
agotado,exhausted
preocupado,worried
preocupación,worry
agradable,pleasant
satisfecho,satisfied
alegre,happy
alegría,happiness
seguro,confident
de sí mismo,self-confident
seguridad,confidence
ansioso,anxious
ansiedad,anxiety
serio,serious
asustado,scared
susto,fear
sorprendido,surprised
sorpresa,surprise
cariñoso,affectionate
cariño,affection
tacaño,stingy
cobarde,coward
trabajador,hardworking
contento,content
tranquilo,calm
tranquilidad,calmness
curioso,curious
triste,sad
tristeza,sadness
decepcionado,disappointed
decepción,disappointment
vago,lazy
desagradable,unpleasant
valiente,brave
divertido,funny
enfadado,angry
enojado,angry
entusiasmado,excited
entusiasmo,excitement
abrazar,to hug
estar de buen humor,to be in a good mood
asustar,to scare
estar de mal humor,to be in a bad mood
besar,to kiss
estúpido,stupid
decepcionar,to disappoint
famoso,famous
encantar,to love
feliz,happy
enfadarse,to get angry
generoso,generous
generosidad,generosity
entusiasmar,to excite
goloso,greedy
gustar,to like
gracioso,funny
irritar(se),to get irritated
hablador,talkative
llorar,to cry
