Spanish,English
saber,to know
sacar,to take out
entonces,then
saludar,to greet
hasta,until
seguir,to follow
inmediato,immediate
inmediatamente,immediately
sentarse,to sit down
luego,"later, then"
sentir(se),to feel
mientras (tanto),meanwhile
ser,to be
momento,moment
soler,to usually do
nunca,never
sonreír,to smile
otra vez,again
de nuevo,again
soñar (con),to dream (about)
primero,first
en primer lugar,in the first place
soportar,"to endure, to bear"
pronto,soon
tener,to have
reloj,"clock, watch"
terminar,to finish
acabar,"to finish, to end"
semana,week
la semana próxima,next week
la semana que viene,the coming week
la semana siguiente,the following week
la semana pasada,last week
tirar (de),to pull
tomar,to take
el autobús,the bus
el tren,the train
siempre,always
traer,to bring
siguiente,"next, following"
trabajar,to work
tarde,"late, afternoon"
más tarde,later
transportar,to transport
temprano,early
tranquilizar,to calm down
turno,"turn, shift"
mi turno,my turn
tu turno,your turn
unir(se),to join
último,last
usar,to use
venir,to come
hora,hour
ver,to see
(son) las siete y media,(it is) half past seven
(son) las siete menos cuarto,(it is) quarter to seven
(son) las siete y cuarto,(it is) quarter past seven
volver,to return
media,half
hora,hour
medianoche,midnight
mediodía,noon
a la una,at one o'clock
a las dos,at two o'clock
minuto,minute
a veces,sometimes
segundo,second
al fin,at the end
por fin,finally
finalmente,finally
un cuarto de hora,a quarter of an hour
antes,before
aún,"still, yet"
cada día/semana/mes,every day/week/month
anteayer,the day before yesterday
cuando,when
ayer,yesterday
de repente,suddenly
día,day
de vez en cuando,from time to time
hoy,today
desde,"since, from"
desde que,since
mañana,tomorrow
por la mañana,in the morning
después,"after, later"
noche,night
por la noche,at night
durante,during
mientras,while
tarde,"late, afternoon"
por la tarde,in the afternoon
