Spanish,English
aeropuerto,airport
videoaficionado,video enthusiast
ascensor,elevator
wifi,wifi
ayuntamiento,city hall
biblioteca,library
cafetería,cafeteria
copiar,to copy
casa,house
cortar,to cut
castillo,castle
descargarse,to download
cine,cinema
encontrar,to find
clínica,clinic
enviar,to send
Correos,post office
oficina de Correos,post office
grabar,to record
dentista,dentist
guardar,to save
edificio,building
hacer clic (en),to click (on)
entrada,entrance
mandar,to send
escuela,school
colegio (de primaria),primary school
navegar por Internet,to surf the Internet
estación (de autobuses/servicio/tren),station (bus/service/train)
publicar,to post
en la red,online
estadio,stadium
rellenar,to fill in
fábrica,factory
subir,to upload
gasolinera,gas station
gimnasio,gym
granja,farm
hospital,hospital
anunciar,to announce
anuncio,announcement
hotel,hotel
artículo,article
instituto (de secundaria),secondary school
billete,ticket
museo,museum
carta,letter
oficina,office
certificado,certificate
diploma,diploma
título,degree
piscina,pool
cómic,comic
piso,apartment
folleto,brochure
planta baja,ground floor
primera planta,first floor
segunda planta,second floor
formulario,form
polideportivo,sports center
guía,guide
restaurante,restaurant
libreta,notebook
salida,exit
libro,book
taller mecánico,mechanic's workshop
lista,list
teatro,theater
nota,note
universidad,university
periódico,newspaper
zoo(lógico),zoo
revista,magazine
tarjeta postal,postcard
