Spanish,English
almohada,pillow
aire acondicionado,air conditioning
armario,wardrobe
altavoz,speaker
cama,bed
calefacción,heating
lámpara,lamp
cargador,charger
manta,blanket
cocina,kitchen
póster,poster
congelador,freezer
despertador,alarm clock
electricidad,electricity
acostarse,to go to bed
fogón,stove
compartir,to share
frigorífico,fridge
descansar,to rest
gas,gas
despertarse,to wake up
horno,oven
dormir,to sleep
lavadora,washing machine
levantarse,to get up
lavaplatos,dishwasher
lavavajillas,dishwasher
tener sueño,to be sleepy
estar cansado,to be tired
microondas,microwave
nevera,fridge
plancha,iron
hacer la colada,to do the laundry
radio,radio
ordenar,to tidy
arreglar,to fix
limpiar,to clean
la casa,the house
teléfono,telephone
pasar la aspiradora,to vacuum
televisión,television
planchar,to iron
poner la mesa,to set the table
quitar la mesa,to clear the table
sacar la basura,to take out the trash
abrir,to open
apagar,to turn off
cerrar,to close
árbol,tree
empujar,to push
césped,grass
encender,to turn on
flor,flower
llamar,to call
muro,wall
reparar,to repair
planta,plant
romper,to break
tirar,to throw
arreglar el jardín,to do the gardening
cultivar,to grow
plantas,plants
amarillo,yellow
plantar,to plant
flores,flowers
verduras,vegetables
azul,blue
blanco,white
claro,light
color,color
