Spanish,English
este (m.),east
reciclar,to recycle
reciclaje (m.),recycling
norte (m.),north
recursos naturales (m.pl.),natural resources
oeste (m.),west
región (f.),region
sur (m.),south
reserva (natural) (f.),natural reserve
río (m.),river
sol (m.),sun
aire (m.),air
aéreo,air
sombra (f.),shade
arena (f.),sand
tierra (f.),earth
La Tierra,Earth
bosque (m.),forest
vista (f.),view
calentamiento global (m.),global warming
volcán (m.),volcano
catarata (f.),waterfall
césped (m.),grass
cielo (m.),sky
cima (f.),top
ayudar a,to help
ayuda (f.),help
clima (m.),climate
cambiar,to change
cambio (m.),change
colina (f.),hill
colaborar,to collaborate
colaboración (f.),collaboration
contaminar,to pollute
contaminación (f.),pollution
consumir,to consume
consumo (m.),consumption
costa (f.),coast
cuidar a,to take care of
deforestación (f.),deforestation
donar,to donate
donación (f.),donation
desierto (m.),desert
evitar,to avoid
electricidad (f.),electricity
eléctrico,electric
luchar contra,to fight against
lucha (f.),fight
estrella (f.),star
malgastar,to waste
malgasto (m.),waste
gobierno (m.),government
mejorar,to improve
mejora (f.),improvement
hierba (f.),grass
promover,to promote
promoción (f.),promotion
isla (f.),island
proteger,to protect
protección (f.),protection
lago (m.),lake
reducir,to reduce
reducción (f.),reduction
luna (f.),moon
separar,to separate
separación (f.),separation
mar (m.),sea
(re)usar/(re)utilizar,(re)use
(re)uso (m.) / (re)utilización (f.),(re)use / (re)utilization
medio ambiente (m.),environment
medioambiental,environmental
montaña (f.),mountain
ambiente,environment
mundo (m.),world
naturaleza (f.),nature
caliente,hot
ola (f.),wave
calor (m.),heat
hace calor,it's hot
paisaje (m.),landscape
escarcha (f.),frost
piedra (f.),stone
estación (del año) (f.),season
planeta (m.),planet
frío (m.),cold
frío (adj.),cold
hace frío,it's cold
plástico (m.),plastic
grados (m.pl.),degrees
playa (f.),beach
granizo (m.),hail
polvo (m.),dust
hielo (m.),ice
rama (f.),branch
húmedo,humid
