Spanish,English
bien,well
cantidad,amount
exactamente,exactly
casi,almost
despacio,slowly
cuánto,how much
lentamente,slowly
lento,slow
doble,double
mal,bad
más,more
rápidamente,quickly
rápido,fast
más o menos,more or less
mayoría,majority
máximo,maximum
el mayor número,the largest number
menos,less
especialmente,especially
minoría,minority
realmente,really
nada,nothing
verdaderamente,truly
número,number
poco,little
sobre,about
bastante,enough
suficiente,sufficient
demasiado,too much
insuficiente,insufficient
todo,everything
montón,a lot
un montón,a lot
total,total
mucho,a lot
único,unique
el único,the only one
muy,very
varios,several
poco,little
vez,time
una vez,once
dos veces,twice
tres veces,three times
solo,alone
solamente,only
tan,so
todo,everything
acabar,finish
acercarse,approach
acordarse,remember
alojarse,stay
cero,zero
uno,one
dos,two
tres,three
cuatro,four
cinco,five
hasta un millón,up to a million
animar,encourage
aparecer,appear
aproximarse,approach
arreglar,fix
primero,first
segundo,second
tercero,third
cuarto,fourth
aumentar,increase
ayudar,help
bajar,go down
medio,half
un tercio,a third
un cuarto,a fourth
beber,drink
buscar,look for
caerse,fall
algún,some
alguno,some
calmar,calm
alrededor de,around
coleccionar,collect
ambos,both
comer,eat
aproximadamente,approximately
comenzar,begin
cada,each
