Spanish,English
dorado,gold
gris,gray
marrón,brown
morado,purple
naranja,orange
negro,black
oscuro,dark
plateado,silver
púrpura,purple
rojo,red
rosa,pink
verde,green
a la moda,fashionable
pasado de moda,out of fashion
abrigo,coat
ancho,wide
anillo,ring
bañador,swimsuit
blusa,blouse
bolsa,bag
bolsillo,pocket
bolso,handbag
botas,boots
bufanda,scarf
calcetines,socks
camisa,shirt
cartera,wallet
chaqueta,jacket
cinturón,belt
collar,necklace
corbata,tie
corto,short
estrecho,narrow
falda,skirt
gafas,glasses
gafas de sol,sunglasses
gorra,cap
guantes,gloves
jersey,sweater
joyas,jewelry
largo,long
mochila,backpack
moda,fashion
monedero,purse
pantalones,trousers
pantalones cortos,shorts
paraguas,umbrella
pendientes,earrings
reloj,watch
ropa,clothes
sandalias,sandals
sombrero,hat
sudadera,sweatshirt
suelto,loose
suéter,sweater
traje,suit
traje de baño,swimsuit
un par de,a pair of
calcetines,socks
zapatos,shoes
guantes,gloves
pantalones,trousers
uniforme,uniform
vaqueros,jeans
vestido,dress
zapatillas de deporte,sports shoes
zapatillas deportivas,sports shoes
zapatos,shoes
desvestirse,to undress
es elegante,it's elegant
es informal,it's casual
llevar puesto,to wear
ponerse,to put on
probarse,to try on
¿Qué talla?,What size?
quitarse,to take off
Te queda bien,It fits you well
vestirse,to get dressed
