Spanish,English
cuchillo,knife
respirar (hondo),to breathe (deeply)
plato,plate
saborear,to taste
sartén,frying pan
sentir,to feel
tenedor,fork
tocar,to touch
vaso,glass
tomar(se) un respiro,to take a breath
ver,to see
boca,mouth
brazo,arm
cita médica,doctor's appointment
cabeza,head
dentista,dentist
cara,face
doctor,doctor (male)
doctora,doctor (female)
corazón,heart
enfermero,nurse (male)
enfermera,nurse (female)
cuerpo,body
farmacia,pharmacy
cuello,neck
medicamento,medication
medicina,medicine
dedo del pie,toe
médico,doctor (male)
médica,doctor (female)
dedo de la mano,finger
tirita,band-aid
diente,tooth
espalda,back
estómago,stomach
caerse,to fall
garganta,throat
cortarse (un dedo),to cut (a finger)
tener un corte,to have a cut
hombro,shoulder
estar cansado,to be tired
hueso,bone
estar enfermo,to be sick
tener una enfermedad,to have an illness
mano,hand
estar mareado,to be dizzy
marearse,to feel dizzy
nariz,nose
estar saludable,to be healthy
tener buena salud,to be in good health
ojo,eye
hacer ejercicio,to exercise
oreja,ear
hacerse daño,to get hurt
pecho,chest
hacerse una herida/lesión,to get injured
pelo,hair
ir al gimnasio,to go to the gym
pie (izquierdo/derecho),foot (left/right)
limpiar,to clean
piel,skin
ponerse enfermo,to get sick
pierna,leg
romper(se),to break
una pierna,a leg
un brazo,an arm
rodilla,knee
sentirse bien,to feel well
tobillo,ankle
sentirse enfermo,to feel sick
tener dolor de cabeza,to have a headache
estómago,stomach
muelas,molars
tener fiebre,to have a fever
escuchar,to listen
tener un resfriado/catarro,to have a cold
oír,to hear
tener una alergia,to have an allergy
oler,to smell
tumbarse,to lie down
probar,to try
