Spanish,English
bañarse,to bathe
molestarse,to get annoyed
ducharse,to shower
preocupar(se),to worry
lavarse,to wash
la cara,the face
las manos,the hands
el pelo…,the hair
reaccionar,to react
lavarse,to wash
cepillarse los dientes,to brush one's teeth
reír,to laugh
maquillarse,to put on makeup
sonreír,to smile
peinarse,to comb
sorprender,to surprise
alfombra,carpet
balcón,balcony
cómoda,chest of drawers
comedor,dining room
cuadro,picture
entrada,entrance
estante,shelf
estantería,bookshelf
escaleras,stairs
mesa,table
estudio,study
salón,living room
garaje,garage
silla,chair
muro,wall
sofá,sofa
pared,wall
pasillo,hallway
puerta,door
botella,bottle
recibidor,hall
caja,box
suelo,floor
fregadero,sink
techo,ceiling
lata,can
ventana,window
mesa,table
baño,bathroom
almorzar,to have lunch
cepillo,brush
de dientes,toothbrush
del pelo,hairbrush
asar,to roast
a la parrilla,on the grill
a la barbacoa,on the barbecue
champú,shampoo
calentar,to heat
recalentar,to reheat
desodorante,deodorant
cenar,to have dinner
ducha,shower
cocinar,to cook
espejo,mirror
comprar,to buy
gel de baño,shower gel
congelar,to freeze
jabón,soap
cortar,to cut
maquillaje,makeup
desayunar,to have breakfast
pasta de dientes,toothpaste
freír,to fry
peine,comb
hervir,to boil
toalla,towel
lavar,to wash
váter,toilet
limpiar,to clean
merendar,to have a snack
preparar,to prepare
el almuerzo,lunch
la cena,dinner
trocear,to chop
