Spanish,English
huracán,hurricane
aplicación,app
lluvia,rain
está lloviendo,it's raining
archivo,file
mojado,wet
artículo,article
niebla,fog
blog,blog
nieve,snow
carpeta,folder
nube,cloud
chat,chat
el grupo de chat,chat group
previsión del tiempo,weather forecast
previsión meteorológica,weather forecast
conectado a Internet,connected to the Internet
en línea,online
rayo,ray
contraseña,password
relámpago,lightning
correo electrónico,email
email,email
sol,sun
luz del sol,sunlight
documento,document
tiempo,weather
en la red,online
tormenta,storm
grabación,recording
trueno,thunder
impresora,printer
viento,wind
inalámbrico,wireless
información,information
juego,game
animal,animal
marca,brand
araña,spider
mensaje,message
caballo,horse
móvil,mobile phone
celular,mobile phone
conejo,rabbit
noticias,news
elefante,elephant
ordenador,computer
computadora,computer
gato,cat
página web,web page
página de Internet,web page
león,lion
pantalla,screen
mono,monkey
pantalla táctil,touchscreen
interactiva,interactive
mosca,fly
película,movie
pájaro,bird
portátil,laptop
perro,dog
ratón,mouse
pez,fish
red social,social network
rata,rat
seguridad en línea,online security
ratón,mouse
selfie,selfie
serpiente,snake
sitio web,website
tigre,tiger
software,software
tableta,tablet
teclado,keyboard
teléfono,telephone
USB,USB
vídeo,video
videoblog,videoblog
