Spanish,English
comprender,understand
intentar,try
comunicar,communicate
invitar,invite
conocer,know
ir,go
conseguir,get
leer,read
contactar,contact
llamar,call
contar,count
llegar,arrive
contestar,answer
llevar,carry
continuar,continue
llorar,cry
copiar,copy
lograr,achieve
crear,create
mantener,maintain
creer,believe
mentir,lie
contar mentiras,tell lies
dar,give
mirar,look
deber,must
mover,move
decir,say
mudarse,move house
de casa,leave
dejar,need
necesitar,descend
descender,happen
ocurrir,describe
describer,hate
odiar,undo
deshacer,hear
oír,return
devolver,something
algo,forget
olvidar,enjoy
disfrutar,organize
organizar,start
empezar,stop
parar,push
empujar,seem
parecer,love
encantar,pass
pasar,find
encontrar,ask
pedir,understand
entender,lose
perder,enter
entrar,think
pensar,write
escribir,allow
permitir,listen
escuchar,belong
pertenecer,wait
esperar,can
poder,be
estar,put
poner,be interested in
estar interesado en,worry
preocupar,stimulate
estimular,try
probar,exist
existir,stay
quedarse,at home
en casa,in a hotel
en un hotel,encourage
fomentar,want
querer,shout
gritar,receive
recibir,like
gustar,remember
recordar,have
haber,reduce
reducir,talk
hablar,laugh
reír,do
hacer,repeat
repetir,ask a question
hacer una pregunta,ask a question
responder,answer
hay,there is
resultar,result
