Spanish,English
abuelo,grandfather
abuela,grandmother
abuelos,grandparents
Sr,Mr.
Sra,Mrs.
Srta,Miss
adolescente,teenager
tío,uncle
tía,aunt
adopción,adoption
adoptivo,adoptive
adoptado,adopted
vecino,neighbor
amigo,friend (male)
amiga,friend (female)
ancianos,elderly
apellido,last name
adoptar,to adopt
bebé,baby
crecer,to grow
boda,wedding
cria,to raise
(ser) criado,(to be) raised
casar(se),to marry
casado,married
deletrear,to spell
chico,boy
chica,girl
estar embarazada,to be pregnant
comprometido,engaged
llamar,to call
llamarse,to be called
divorciado,divorced
morir,to die
esposo,husband
marido,husband
esposa,wife
mujer,wife
nacer,to be born
familia,family
tener,to have
gemelos,twins
mellizos,twins
vivir,to live
gente,people
personas,people
hermano,brother
mayor,older
menor,younger
hermana,sister
mayor,older
menor,younger
física,physical
hijo,son
hija,daughter
alto,tall
hombre,man
mujer,woman
altura,height
infancia,childhood
anciano,elderly
joven,young
bajo,short
juventud,youth
barba,beard
madre,mother
bigote,mustache
matrimonio,marriage
bonito,pretty
nieto,grandson
nieta,granddaughter
calvo,bald
niño,child (male)
niña,child (female)
niños,children
color,color
nombre,name
corto,short
novio,boyfriend
novia,girlfriend
delgado,thin
padrastro,stepfather
madrastra,stepmother
edad,age
padre,father
feo,ugly
padres,parents
(llevar) gafas,(to wear) glasses
pareja,partner
gordo,fat
pariente,relative
grueso,thick
primo,cousin (male)
prima,cousin (female)
guapo,handsome
prometido,fiancé
prometida,fiancée
joven,young
señor,Mr.
señora,Mrs.
señorita,Miss
largo,long
sobrino,nephew
sobrina,niece
liso,straight (hair)
soltero,single
mayor,elderly
