Spanish,English
ambulancia,ambulance
andén,platform
irse,to leave
autobús,bus
llegar (con retraso),to arrive (late)
autocar,coach
pasear,to walk
ir de paseo,to go for a walk
avión,airplane
seguir,to follow
continuar (todo) recto,to continue (straight ahead)
barco,boat
barca,small boat
subirse (a),to get on (a)
bicicleta,bicycle
moto,motorbike
motocicleta,motorcycle
tomar,to take
el autobús,the bus
el tren,the train
el avión,the airplane
billete,ticket
de ida,one way
de ida y vuelta,round trip
viajar,to travel
en autobús,by bus
en tren,by train
en avión,by airplane
coche,car
volar,to fly
conductor,driver (male)
conductora,driver (female)
volver,to return
equipaje,luggage
indicaciones,directions
maleta,suitcase
mapa,map
muelle,dock
adiós,goodbye
oficina de información turística,tourist information office
oficina de turismo,tourism office
buenos días,good morning
buenas tardes,good afternoon
buenas noches,good evening
¿Cómo estás?,How are you?
parada de autobús,bus stop
encantado (de conocerte),nice to meet you
pasajero,passenger
gracias,thank you
pasaporte,passport
hasta luego,see you later
hasta mañana,see you tomorrow
retraso,delay
retrasado,delayed
hola,hello
tarjeta,card
de crédito,credit
de débito,debit
lo siento,I'm sorry
perdón,sorry
taxi,taxi
¿Perdón?,Pardon?
tranvía,tram
por favor,please
trayecto,journey
¿Qué tal?,How are you?
tren,train
turista,tourist
vuelo,flight
¡Bienvenido!,Welcome!
¡Qué bonito!,How beautiful!
andar,to walk
¡Qué interesante!,How interesting!
aparcar,to park
¡Qué lástima!,What a pity!
bajarse (de),to get off (a)
¡Qué molesto!,How annoying!
buscar,to look for
¡Qué pena!,What a shame!
caminar,to walk
conducir,to drive
cruzar,to cross
la carretera,the road
la calle,the street
aceptar una invitación,to accept an invitation
rechazar una invitación,to reject an invitation
estar perdido,to be lost
perderse,to get lost
invitar,to invite
girar,to turn
¿Por qué no…?,Why don't we…?
ir de viaje,to go on a trip
¿Te gustaría,Would you like to
Quieres (ir al cine)?,Do you want (to go to the cinema)?
tener ganas de / apetecer,to feel like / to fancy
